url,label
http://87.120.196.16:889/agustin51,malicious
http://91.92.242.236/files-129312398/files/file_d428ecd0038c581e.exe,malicious
http://45.61.150.229:8080/pear.exe,malicious
http://45.61.150.229:8080/dlr.vbs,malicious
http://45.61.150.229:8080/dl.hta,malicious
http://iloveboats.st:8081/titan.ppc,malicious
http://quietsurfwi.help:8081/titan.mips,malicious
http://quietsurfwi.help:8081/titan.mipsel,malicious
http://94.154.43.192:8081/titan.arm4tl,malicious
http://94.154.43.192:8081/titan.sh4,malicious
http://94.154.43.192:8081/titan.arm6,malicious
http://94.154.43.192:8081/titan.ppc440,malicious
http://94.154.43.192:8081/titan.m68k,malicious
http://94.154.43.192:8081/titan.ppc,malicious
http://94.154.43.192:8081/titan.x32,malicious
http://94.154.43.192:8081/titan.x64-test,malicious
http://94.154.43.192:8081/titan.mips,malicious
http://94.154.43.192:8081/titan.mipsel,malicious
http://94.154.43.192:8081/titan.arm7,malicious
http://94.154.43.192:8081/titan.arm4l,malicious
http://94.154.43.192:8081/titan.arm5,malicious
http://192.159.99.221/Bin/ScreenConnect.ClientSetup.exe,malicious
http://192.159.99.221/bin/support.client.exe,malicious
http://94.154.43.192:8081/titan.x86,malicious
http://94.154.43.192:8081/titan.x86_32,malicious
http://94.154.43.192:8081/titan.x64,malicious
http://94.154.43.192:8081/titan.x86_64,malicious
http://www.iloveboats.st:8081/titan.ppc440,malicious
http://quietsurfwi.help:8081/titan.ppc440,malicious
http://94.154.43.95:8081/titan.ppc440,malicious
http://iloveboats.st:8081/bash.sh,malicious
http://mail.quietsurfwi.help:8081/titan.arm7,malicious
http://iloveboats.st:8081/titan.m68k,malicious
http://94.154.43.95:8081/titan.i586,malicious
http://www.iloveboats.st:8081/titan.sh4,malicious
http://www.iloveboats.st:8081/titan.arm4l,malicious
http://quietsurfwi.help:8081/titan.x32,malicious
http://iloveboats.st:8081/titan.x64-test,malicious
http://mail.quietsurfwi.help:8081/titan.ppc440,malicious
http://www.iloveboats.st:8081/titan.x64-test,malicious
http://94.154.43.95:8081/titan.m68k,malicious
http://mail.quietsurfwi.help:8081/titan.arm5,malicious
http://quietsurfwi.help:8081/titan.x64-test,malicious
http://www.iloveboats.st:8081/titan.mips,malicious
http://www.iloveboats.st:8081/bash.sh,malicious
http://www.iloveboats.st:8081/titan.mipsel,malicious
http://quietsurfwi.help:8081/titan.arm4tl,malicious
http://aura.tcplegit.space/l,malicious
http://mail.quietsurfwi.help:8081/titan.m68k,malicious
http://mail.quietsurfwi.help:8081/titan.arm6,malicious
http://quietsurfwi.help:8081/titan.arm6,malicious
http://94.154.43.95:8081/titan.mipsel,malicious
http://94.154.43.95:8081/titan.x64,malicious
http://94.154.43.95:8081/titan.x64-test,malicious
http://iloveboats.st:8081/titan.arm6,malicious
http://mail.quietsurfwi.help:8081/titan.arm4l,malicious
http://mail.quietsurfwi.help:8081/titan.x64-test,malicious
http://94.154.43.95:8081/titan.x32,malicious
http://mail.quietsurfwi.help:8081/titan.ppc,malicious
http://quietsurfwi.help:8081/titan.arm5,malicious
http://iloveboats.st:8081/titan.ppc440,malicious
http://94.154.43.95:8081/titan.i486,malicious
http://iloveboats.st:8081/titan.sh4,malicious
http://iloveboats.st:8081/titan.x32,malicious
http://mail.quietsurfwi.help:8081/titan.x32,malicious
http://mail.quietsurfwi.help:8081/titan.mipsel,malicious
http://iloveboats.st:8081/titan.mipsel,malicious
http://mail.quietsurfwi.help:8081/titan.sh4,malicious
http://iloveboats.st:8081/titan.arm4l,malicious
http://mail.quietsurfwi.help:8081/titan.mips,malicious
http://mail.quietsurfwi.help:8081/titan.arm4tl,malicious
http://iloveboats.st:8081/titan.mips,malicious
http://94.154.43.95:8081/titan.arm6,malicious
http://quietsurfwi.help:8081/titan.sh4,malicious
http://94.154.43.95:8081/titan.mips,malicious
http://94.154.43.95:8081/titan.arm4l,malicious
http://94.154.43.95:8081/titan.arm5,malicious
http://94.154.43.95:8081/titan.arm7,malicious
http://94.154.43.95:8081/titan.ppc,malicious
http://94.154.43.95:8081/titan.arm4tl,malicious
http://94.154.43.95:8081/titan.sh4,malicious
http://quietsurfwi.help:8081/titan.m68k,malicious
http://iloveboats.st:8081/titan.arm7,malicious
http://iloveboats.st:8081/titan.arm5,malicious
http://www.iloveboats.st:8081/titan.arm4tl,malicious
http://www.iloveboats.st:8081/titan.m68k,malicious
http://quietsurfwi.help:8081/titan.arm7,malicious
http://www.iloveboats.st:8081/titan.arm5,malicious
http://94.154.43.95:8081/titan.i686,malicious
http://iloveboats.st:8081/titan.arm4tl,malicious
http://www.iloveboats.st:8081/titan.ppc,malicious
http://www.iloveboats.st:8081/titan.arm7,malicious
http://quietsurfwi.help:8081/titan.ppc,malicious
http://www.iloveboats.st:8081/titan.x32,malicious
http://mail.quietsurfwi.help:8081/bash.sh,malicious
http://www.iloveboats.st:8081/titan.arm6,malicious
http://quietsurfwi.help:8081/titan.arm4l,malicious
http://quietsurfwi.help:8081/bash.sh,malicious
http://aura.tcplegit.space/skid.arm4,malicious
http://aura.tcplegit.space/massload,malicious
http://aura.tcplegit.space/skid.arm7,malicious
http://aura.tcplegit.space/main_arm,malicious
http://aura.tcplegit.space/skid.x86-64,malicious
http://aura.tcplegit.space/main_arm7,malicious
http://aura.tcplegit.space/scan.sh,malicious
http://aura.tcplegit.space/cnr,malicious
http://aura.tcplegit.space/skid.armv5l,malicious
http://aura.tcplegit.space/main_sh4,malicious
http://aura.tcplegit.space/skid.mips,malicious
http://aura.tcplegit.space/skid.arm64,malicious
http://aura.tcplegit.space/main_mips,malicious
http://aura.tcplegit.space/skid.ppc,malicious
http://aura.tcplegit.space/main_arm5,malicious
http://aura.tcplegit.space/skid.mpsl,malicious
http://aura.tcplegit.space/skid.x86,malicious
http://aura.tcplegit.space/skid.sh4,malicious
http://aura.tcplegit.space/skid.m68k,malicious
http://aura.tcplegit.space/skid.spc,malicious
http://aura.tcplegit.space/skid.i386,malicious
http://aura.tcplegit.space/main_aarch64,malicious
http://aura.tcplegit.space/skid.arm6,malicious
http://aura.tcplegit.space/main_arm6,malicious
http://aura.tcplegit.space/skid.arm5,malicious
http://aura.tcplegit.space/download_and_run.sh,malicious
http://aura.tcplegit.space/skid.arm,malicious
http://aura.tcplegit.space/skid.x64,malicious
http://aura.tcplegit.space/skid.mipsel,malicious
http://aura.tcplegit.space/main_x86_64,malicious
http://aura.tcplegit.space/main_powerpc,malicious
http://aura.tcplegit.space/g,malicious
http://94.154.43.38/skid.ppc,malicious
http://94.154.43.38/scan.sh,malicious
http://94.154.43.38/skid.arm5,malicious
http://94.154.43.38/skid.arm4,malicious
http://94.154.43.38/skid.x86-64,malicious
http://94.154.43.38/main_x86_64,malicious
http://94.154.43.38/skid.armv5l,malicious
http://94.154.43.38/skid.arm6,malicious
http://94.154.43.38/skid.arm7,malicious
http://94.154.43.38/skid.sh4,malicious
http://94.154.43.38/skid.arm,malicious
http://94.154.43.38/main_arm7,malicious
http://94.154.43.38/skid.m68k,malicious
http://94.154.43.38/skid.mpsl,malicious
http://94.154.43.38/skid.x86,malicious
http://94.154.43.38/skid.x64,malicious
http://94.154.43.38/skid.mipsel,malicious
http://94.154.43.38/skid.mips,malicious
http://94.154.43.38/massload,malicious
http://94.154.43.38/skid.arm64,malicious
http://94.154.43.38/skid.i386,malicious
